,username,retweetCount,replyCount,followersCount
94,SerpenIllus,307,34,22768
62,LagerstatteJohn,237,4,2476
194,thejohnconway,170,6,8732
168,lifeofmanuh,117,4,847
157,ildarotyrannus,75,10,1045
20,DavidEvans_ROM,75,5,8791
64,LikesPterosaurs,69,12,2349
137,dinosven,64,0,1261
37,Geology_History,62,2,19152
184,pdmannion,53,3,1622
77,OliverDemuth,42,2,1683
100,TanzaniaUpdates,40,16,74050
99,TanzaniaHistory,36,3,35616
119,alinemghilardi,34,3,15289
149,flyingreptiles,28,1,2264
48,JamiiForums,26,5,1143399
19,Dave_Hone,20,2,9885
23,Dean_R_Lomax,17,8,11630
134,dinodadreviews,17,4,1210
175,msphuang,16,3,37
41,Hakingowi,16,2,340889
98,TZEmbassyCN,14,0,13770
47,JamaleIjouiher,14,5,608
22,David_Bressan,13,3,5124
59,King_Edmarka,13,0,728
39,GeschichteFM,11,1,13885
126,bricksmashtv,10,3,481
8,BdfJjl,10,1,308
107,VincentReneleau,10,1,1600
50,JoaoVascoLeite,9,1,1099
105,Tweetisaurus,9,2,8007
177,nyrorosaurus,8,8,1157
38,GermanyTanzania,8,0,23594
7,BVisigodo,7,1,478
17,Daniajinn,6,2,1580
68,MalukaKhamis,6,2,1463
198,vjcheng,6,0,370
108,WMaliasili,6,0,6105
78,PD_Mocho,5,1,1300
35,GUnrecht,5,0,2143
143,esther_mmasi,5,3,2608
156,i_love_juju,4,2,7923
13,ChristianSidor,4,0,2272
1,AMBrandstetter,4,0,809
97,TUBerlin,4,0,18943
148,flowermanase,3,0,202
109,WWecker,3,0,4055
201,xplanatorium,3,0,277
203,yerickonyerereT,3,1,196757
124,bertschulz,3,0,1168
181,paleokrahl,3,1,1051
46,JakeHRWilson,2,0,29
135,dinojonrox,2,0,892
104,TomHoltzPaleo,2,0,15903
60,KnappRew,2,1,484
112,YBankole02,2,2,83
12,Chris_Manias,2,2,1857
170,marioquiron,2,2,13342
72,Mgossi,2,3,2457
91,SLASHWILDLIFE,2,0,5722
51,Jordan_Mallon,2,0,2398
140,dustydino,2,2,8594
82,PembaLive,1,0,462
103,TetZoo,1,2,29089
88,Rendedeer,1,1,73
159,impelisa_travel,1,0,19
89,RevMattK,1,0,886
144,euleminerva,1,0,4463
67,MMarcosaurus,1,0,463
130,christineax,1,0,140
127,bwana_bayah,1,1,636
9,BehavEcolPapers,1,0,3869
10,BellsproutArmy,1,0,329
11,Cambroraster,1,0,381
14,Colecionadores2,1,0,5334
125,bigbrotz,1,1,861
92,SangitoE,1,0,927
42,Immyrich2,1,0,80
180,oselcz,1,0,447
172,mfnberlin,1,0,12391
169,littlewisehen,1,0,29782
141,dylan44091709,0,0,0
139,dr_r_fallon,0,1,1015
142,eBookBargainDls,0,0,302
136,dinosauria_bot,0,0,6
133,devinsaurusnext,0,0,602
147,femke_holwerda,0,1,2272
146,excavatedegypt,0,0,2884
145,eventsintz,0,0,499
132,deadtoothck,0,0,209
138,donaldmajebele,0,0,377
167,lafiladifer,0,1,1607
150,frank___furter,0,0,33
191,tamati_biskit,0,2,652
183,paleovert,0,0,1126
185,pegasaurus_42,0,4,536
186,pklosko,0,0,291
187,schiefgelesen,0,1,1256
188,schwarze0fm_bot,0,0,14
189,scienceslam,0,0,1712
190,stevodarkly,0,0,245
192,testeeves,0,0,1612
151,geschichtsadmin,0,1,735
193,theImpalar,0,0,8619
195,thorkelyimo,0,0,12696
196,trzylfik,0,1,1283
197,ucl_discovery,0,0,1841
199,waytooshiny,0,1,397
200,wessexbaryonyx,0,1,23
202,yasebhase,0,0,2594
182,paleorob,0,0,1141
179,ohyeahfranzi,0,2,3100
178,odietrich_,0,1,4523
176,nakkyeo,0,2,465
152,gimpasaura,0,0,4373
153,herrstang,0,0,1457
154,hrjkitten,0,1,394
155,hydrarchos,0,1,383
158,imhotep_gold,0,0,85
160,javier_aeoa,0,1,363
161,jeffalbert2hell,0,1,2037
162,jhettgreene,0,0,263
163,jose_Zillah,0,0,207
164,keystourstz,0,0,724
165,kuzim_za,0,1,1798
166,la_lioness,0,1,1152
171,meszner,0,0,8787
173,motherovvinegar,0,1,30
174,mpmartyniuk,0,1,1005
131,danielmadzia,0,0,358
0,ABaillieStewart,0,0,409
129,christian_am_i,0,0,147
63,Life_Sciences_,0,0,5422
33,Fang83768513,0,1,314
34,FlyingEagle8956,0,1,30
36,Gabriela_Jean,0,0,64
40,HabariTimes,0,0,218
43,IndiaWAC,0,0,191
44,IronhideArcee,0,0,171
45,JSalasIIDinos,0,1,647
49,JenLRossman,0,0,4087
52,JoschuaKnuppe,0,0,8467
53,JoshuaRojas19,0,4,106
54,JuliotheArtist,0,0,9362
55,KBMusicmc,0,0,1147
56,KWhalord,0,1,367
57,KennedyMmari,0,0,118167
58,KingRexy328,0,2,5122
32,FacepalmProf,0,0,32
31,Elkeringhausen,0,0,971
30,El_Pakozoico,0,0,21164
16,DGHTeV,0,0,954
2,AkwilapoPatrick,0,0,47
3,AlfredMoser,0,0,31
4,ArBreatheWithUs,0,0,942
5,ArtofFabricious,0,0,879
6,AsPaleoGalega,0,0,151
15,CornubiaGeol,0,0,2869
18,DarioEstraviz,0,0,1794
29,Duper_Aspergers,0,0,785
21,DavidMbazza,0,0,57
24,Dinobirdman3,0,0,245
25,DinosaurBiology,0,0,986
26,DinosaurBrendan,0,0,361
27,Dinosauruslar,0,1,176
28,DoubleBeam,0,0,2181
61,L_ssar,0,3,2429
65,Liquidodesign,0,0,53
128,capstickquotes,0,1,554
66,LongTany,0,5,261
96,T3Fouinneteau,0,0,110
101,TeaDrivenDev,0,1,932
106,UtaliiTz,0,0,1758
110,Wilbright_jr,0,2,55403
111,WilliamBabey,0,2,1036
113,Yokomation,0,1,955
114,Zegh8578,0,1,64
115,ZoolJLinnSoc,0,0,1464
116,_pterojacktyl,0,0,14
117,_salimjr,0,1,12578
118,agencecommunica,0,0,154
120,altatoron,0,1,641
121,amayor,0,0,8126
122,ameghiniana,0,1,853
123,arungmeda,0,0,93
95,ShelCompton,0,1,1584
93,SaraLutra,0,0,600
90,Rohstahlski,0,0,312
76,MyslCeska,0,0,583
69,MannThisguy,0,0,919
70,McBarakaBukoba,0,0,1137
71,Medienstuebchen,0,0,325
73,MikeTaylor,0,1,4869
74,Ming_tfk27,0,0,279
75,MwananchiNews,0,1,642393
79,PSigungu,0,0,125
87,Randomdinos01,0,1,561
80,Palaeo3D,0,1,1101
81,PalaeoPatch,0,1,120
83,Phengarornis,0,0,100
84,Philoceratops,0,0,1645
85,ProfPeterDoyle,0,0,17770
86,ProjektUzK100,0,0,719
102,TendanganSepeda,0,0,942
